DESC,DATABASE,TABLE,ID,COLUMN,TYPE,LENGHT,DEC,ALT
,HR_PROD,ALL_TAB_COLUMNS,1,TABLE_NAME,VARCHAR2,,0,TABLE_NAME
,HR_PROD,ALL_TAB_COLUMNS,2,COLUMN_ID,NUMBER,,0,COLUMN_ID
,HR_PROD,ALL_TAB_COLUMNS,3,COLUMN_NAME,VARCHAR2,,0,COLUMN_NAME
,HR_PROD,ALL_TAB_COLUMNS,4,DATA_TYPE,VARCHAR2,,0,DATA_TYPE
,HR_PROD,ALL_TAB_COLUMNS,5,DATA_LENGTH,NUMBER,,0,DATA_LENGTH
,HR_PROD,ALL_TAB_COLUMNS,6,DEFAULT_LENGTH,NUMBER,,0,DEFAULT_LENGTH
,HR_PROD,ALL_TAB_COLUMNS,7,OWNER,VARCHAR2,,0,OWNER
,HR_PROD,ALL_TAB_COLUMNS,8,NULLABLE,VARCHAR2,,0,NULLABLE
,HR_PROD,ALL_TAB_COLUMNS,9,DATA_DEFAULT,VARCHAR2,,0,DATA_DEFAULT
,HR_PROD,ALL_TABLES,1,OWNER,VARCHAR2,,0,OWNER
,HR_PROD,ALL_TABLES,2,TABLE_NAME,VARCHAR2,,0,TABLE_NAME
,HR_PROD,ALL_TABLES,3,TABLESPACE_NAME,VARCHAR2,,0,TABLESPACE_NAME
,HR_PROD,ALL_TABLES,4,NUM_ROWS,NUMBER,,0,NUM_ROWS
,HR_PROD,ALL_TABLES,5,AVG_ROW_LEN,NUMBER,,0,AVG_ROW_LEN
,HR_PROD,ALL_TABLES,6,LAST_ANALYZED,DATE,,0,LAST_ANALYZED
,HR_PROD,ALL_TABLES,7,TEMPORARY,VARCHAR2,,0,TEMPORARY
,HR_PROD,ALL_TABLES,8,SECONDARY,VARCHAR2,,0,SECONDARY
,HR_PROD,ALL_TABLES,9,NESTED,VARCHAR2,,0,NESTED
,HR_PROD,ALL_TABLES,10,MONITORING,VARCHAR2,,0,MONITORING
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,1,ORGANIZATION_ID,NUMBER,22,0,ORGANIZATION_ID
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,2,BUSINESS_GROUP_ID,NUMBER,22,0,BUSINESS_GROUP_ID
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,3,COST_ALLOCATION_KEYFLEX_ID,NUMBER,22,0,COST_ALLOCATION_KEYFLEX_ID
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,4,LOCATION_ID,NUMBER,22,0,LOCATION_ID
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,5,SOFT_CODING_KEYFLEX_ID,NUMBER,22,0,SOFT_CODING_KEYFLEX_ID
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,6,DATE_FROM,DATE,7,0,DATE_FROM
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,7,NAME,VARCHAR2,240,0,NAME
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,8,DATE_TO,DATE,7,0,DATE_TO
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,9,INTERNAL_EXTERNAL_FLAG,VARCHAR2,30,0,INTERNAL_EXTERNAL_FLAG
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,10,INTERNAL_ADDRESS_LINE,VARCHAR2,80,0,INTERNAL_ADDRESS_LINE
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,11,TYPE,VARCHAR2,30,0,TYPE
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,12,REQUEST_ID,NUMBER,22,0,REQUEST_ID
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,13,PROGRAM_APPLICATION_ID,NUMBER,22,0,PROGRAM_APPLICATION_ID
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,14,PROGRAM_ID,NUMBER,22,0,PROGRAM_ID
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,15,PROGRAM_UPDATE_DATE,DATE,7,0,PROGRAM_UPDATE_DATE
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,16,ATTRIBUTE_CATEGORY,VARCHAR2,30,0,ATTRIBUTE_CATEGORY
